id,category,medium,subject,bclass,chapter_no,chapter_name,pages,link
236,3,1,1,4,17,Construction ,16,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+17.pdf
235,3,1,1,4,16,Congurance,8,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+16.pdf
234,3,1,1,4,15,Properties of Triangles ,17,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+15.pdf
233,3,1,1,4,14,Lines and Angles,7,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+14.pdf
232,3,1,1,4,13,Simple Interest,4,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+13.pdf
231,3,1,1,4,12,Profit and Loss,11,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+12.pdf
230,3,1,1,4,11,Percentage ,15,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+11.pdf
229,3,1,1,4,10,Unitary Method ,18,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+10.pdf
228,3,1,1,4,9,Ratio and Proportion ,11,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+9.pdf
227,3,1,1,4,8,Linearr Expression In One Variable,18,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+8.pdf
226,3,1,1,4,7,Algebric Expression ,31,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+7.pdf
225,3,1,1,4,6,Exponents,13,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+6.pdf
224,3,1,1,4,5,Operation,13,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+5.pdf
223,3,1,1,4,4,Rational Number ,43,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+4.pdf
222,3,1,1,4,3,Decimals ,30,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+3.pdf
221,3,1,1,4,2,Fractions and Decimals,21,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+2.pdf
220,3,1,1,4,1,Integers,13,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+1.pdf
219,3,1,1,1,25,Graphs,6,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter25_Graphs_RSA.pdf
218,3,1,1,1,24,Probability,6,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter24_Probability_RSA.pdf
217,3,1,1,1,23,Pie Charts,9,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter23_Pie+Charts_RSA.pdf
216,3,1,1,1,22,Constructing and Intersecting Bar Graphs,11,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter22_Constructing+and+Intersecting+Bar+Graphs_RSA.pdf
215,3,1,1,1,21,Data Handling,7,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter21_Data+Handling_RSA.pdf
214,3,1,1,1,20,Volume and Surface Area of Solids,23,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter20_Volume+and+Surface+Area+of+Solids_RSA.pdf
213,3,1,1,1,19,Three Dimensional Shapes,8,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter19_Three+Dimensional+Shapes_RSA.pdf
212,3,1,1,1,18,Area of Trapezium and Polygon,13,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter18_Area+of+Trapezium+and+Polygon_RSA.pdf
211,3,1,1,1,17,Construction of Quadrilaterals,17,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter17_Construction+of+Quadrilaterals_RSA.pdf
210,3,1,1,1,16,Parallelograms,8,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/8th/Class-8_Chapter16_Parallelograms_RSA.pdf
